0800;Darwin City;130.83330955200006,130.85192068300012,-12.473711032999972,-12.452290863999963;0.0002638987000072382
0810;Lee Point;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Rapid Creek;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Nakara;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Moil;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Muirhead;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Tiwi;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Wagaman;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Wanguri;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Lyons (NT);130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Brinkin;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Jingili;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Coconut Grove;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Nightcliff;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Millner;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Alawa;130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0810;Casuarina (NT);130.84112533300004,130.90601901200012,-12.402658711999948,-12.330059716999926;0.0019774829510543885
0812;Malak;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Buffalo Creek;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Anula;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Wulagi;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Karama;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Leanyer;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Holmes;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0812;Marrara;130.87154016300008,130.9385628130001,-12.41276507699996,-12.334669712999926;0.0029832650703964236
0815;Brinkin;130.86331299000005,130.8747614340001,-12.376548384999978,-12.367733856999962;5.3036712547110954e-05
0820;Winnellie;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Coonawarra (NT);130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Eaton (NT);130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Bayview (NT);130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Larrakeyah;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Woolner;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Stuart Park;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;The Gardens (NT);130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;The Narrows (NT);130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Fannie Bay;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Parap;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;Ludmilla;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0820;East Point;130.81511700300007,130.91771499900005,-12.462103559999946,-12.395315155999981;0.003246178301691634
0822;Fly Creek;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;East Arm;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Wishart (NT);129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Milingimbi;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Belyuen;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Murrumujuk;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Wak Wak;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Vernon Islands;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Burrundie;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Eva Valley;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Lloyd Creek;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Wurrumiyanga;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
0822;Van Diemen Gulf;129.35561537400008,136.9849799860001,-14.892098353999927,-10.905918005999979;12.56483926943477
